"lat","lon","year","pop1","citystate","murder_per100k"
41.9778795,-91.6656232,1992,110130,"Cedar Rapids IA",0
41.9778795,-91.6656232,1998,114996,"Cedar Rapids IA",0
41.9778795,-91.6656232,1995,113959,"Cedar Rapids IA",0
41.9778795,-91.6656232,1993,112096,"Cedar Rapids IA",0
41.9778795,-91.6656232,1994,112693,"Cedar Rapids IA",0
41.9778795,-91.6656232,1997,114360,"Cedar Rapids IA",0
41.9778795,-91.6656232,1960,92035,"Cedar Rapids IA",0
41.9778795,-91.6656232,1996,114360,"Cedar Rapids IA",0
39.5807452,-104.8771726,2007,97746,"Centennial CO",0
39.5807452,-104.8771726,2006,100100,"Centennial CO",0
39.5807452,-104.8771726,2010,100377,"Centennial CO",0
39.5807452,-104.8771726,2004,99685,"Centennial CO",0
33.8583483,-118.0647871,1999,54672,"Cerritos CA",0
33.8583483,-118.0647871,2007,52462,"Cerritos CA",0
33.8583483,-118.0647871,1997,56243,"Cerritos CA",0
40.1164204,-88.2433829,1998,64997,"Champaign IL",0
40.1164204,-88.2433829,2000,67518,"Champaign IL",0
40.1164204,-88.2433829,1997,67707,"Champaign IL",0
40.1164204,-88.2433829,2003,69735,"Champaign IL",0
40.1164204,-88.2433829,1995,67332,"Champaign IL",0
40.1164204,-88.2433829,2001,67861,"Champaign IL",0
40.1164204,-88.2433829,1996,67428,"Champaign IL",0
40.1164204,-88.2433829,2009,80467,"Champaign IL",0
40.1164204,-88.2433829,1999,64723,"Champaign IL",0
40.1164204,-88.2433829,1994,65119,"Champaign IL",0
40.1164204,-88.2433829,2005,70581,"Champaign IL",0
40.1164204,-88.2433829,2004,72300,"Champaign IL",0
40.1164204,-88.2433829,1968,56134,"Champaign IL",0
40.1164204,-88.2433829,2002,68504,"Champaign IL",0
40.1164204,-88.2433829,1993,64815,"Champaign IL",0
33.3061605,-111.8412502,1993,102891,"Chandler AZ",0
35.9131996,-79.0558445,2003,50123,"Chapel Hill NC",0
35.9131996,-79.0558445,2009,50815,"Chapel Hill NC",0
35.9131996,-79.0558445,2010,54397,"Chapel Hill NC",0
35.9131996,-79.0558445,2007,48011,"Chapel Hill NC",0
42.9026136,-78.744572,1981,92544,"Cheektowaga NY",0
42.9026136,-78.744572,1984,93178,"Cheektowaga NY",0
36.7682088,-76.2874927,2001,202257,"Chesapeake VA",0
41.1399814,-104.8202462,1989,53525,"Cheyenne WY",0
41.1399814,-104.8202462,1995,54051,"Cheyenne WY",0
41.1399814,-104.8202462,2010,59466,"Cheyenne WY",0
41.1399814,-104.8202462,2003,53931,"Cheyenne WY",0
41.1399814,-104.8202462,1993,53033,"Cheyenne WY",0
41.1399814,-104.8202462,2001,53080,"Cheyenne WY",0
41.8781136,-87.6297982,1984,3012524,"Chicago IL",0
42.1487043,-72.6078672,1981,55449,"Chicopee MA",0
42.1487043,-72.6078672,2009,54589,"Chicopee MA",0
42.1487043,-72.6078672,1990,56632,"Chicopee MA",0
42.1487043,-72.6078672,1997,55723,"Chicopee MA",0
42.1487043,-72.6078672,1963,64360,"Chicopee MA",0
42.1487043,-72.6078672,1989,57880,"Chicopee MA",0
42.1487043,-72.6078672,1992,56458,"Chicopee MA",0
42.1487043,-72.6078672,1994,56563,"Chicopee MA",0
