"lat","long","year","pop1","citystate","rape_per100k"
42.03,-87.9,1986,57300,"Des Plaines IL",0
42.03,-87.9,1997,53543,"Des Plaines IL",0
42.03,-87.9,1993,54427,"Des Plaines IL",0
42.03,-87.9,2001,59018,"Des Plaines IL",0
42.03,-87.9,1994,54682,"Des Plaines IL",0
42.03,-87.9,2007,57048,"Des Plaines IL",0
42.03,-87.9,2006,56855,"Des Plaines IL",0
42.03,-87.9,1988,55882,"Des Plaines IL",0
42.03,-87.9,2003,58979,"Des Plaines IL",0
42.03,-87.9,2004,56718,"Des Plaines IL",0
42.03,-87.9,1999,55653,"Des Plaines IL",0
42.03,-87.9,1989,55690,"Des Plaines IL",0
42.03,-87.9,1965,50789,"Des Plaines IL",0
42.03,-87.9,1974,57400,"Des Plaines IL",0
42.03,-87.9,2000,58720,"Des Plaines IL",0
42.03,-87.9,1990,53223,"Des Plaines IL",0
42.03,-87.9,1996,53323,"Des Plaines IL",0
42.03,-87.9,1991,53746,"Des Plaines IL",0
42.03,-87.9,1998,55425,"Des Plaines IL",0
42.03,-87.9,1987,56334,"Des Plaines IL",0
42.03,-87.9,1972,57665,"Des Plaines IL",0
42.38,-83.1,1993,1020062,"Detroit MI",0
31.24,-85.41,1994,55858,"Dothan AL",0
41.8,-88.02,1999,52073,"Downers Grove IL",0
41.8,-88.02,1997,51242,"Downers Grove IL",0
41.8,-88.02,1995,50958,"Downers Grove IL",0
41.8,-88.02,1998,51331,"Downers Grove IL",0
41.8,-88.02,1996,51031,"Downers Grove IL",0
33.94,-118.13,1960,82505,"Downey CA",0
42.5,-90.69,1962,57153,"Dubuque IA",0
42.5,-90.69,1965,60250,"Dubuque IA",0
42.5,-90.69,1967,62896,"Dubuque IA",0
42.5,-90.69,1991,57924,"Dubuque IA",0
42.5,-90.69,1961,56606,"Dubuque IA",0
42.5,-90.69,1960,56606,"Dubuque IA",0
42.5,-90.69,1966,62853,"Dubuque IA",0
46.78,-92.12,1993,86368,"Duluth MN",0
46.78,-92.12,2008,84171,"Duluth MN",0
46.78,-92.12,2006,85463,"Duluth MN",0
46.78,-92.12,1962,106786,"Duluth MN",0
46.78,-92.12,1960,106884,"Duluth MN",0
46.78,-92.12,2007,83932,"Duluth MN",0
44.82,-93.16,2007,63718,"Eagan MN",0
44.82,-93.16,2008,63754,"Eagan MN",0
44.82,-93.16,1993,53466,"Eagan MN",0
44.82,-93.16,2006,64090,"Eagan MN",0
41.8,-71.36,1981,51292,"East Providence RI",0
44.82,-91.49,1998,58030,"Eau Claire WI",0
44.82,-91.49,1993,56562,"Eau Claire WI",0
44.85,-93.46,2006,61054,"Eden Prairie MN",0
44.85,-93.46,2008,62516,"Eden Prairie MN",0
44.85,-93.46,2007,61910,"Eden Prairie MN",0
40.53,-74.37,1993,91631,"Edison NJ",0
40.53,-74.37,1992,89354,"Edison NJ",0
42.04,-88.29,1996,68910,"Elgin IL",0
42.04,-88.29,2006,78579,"Elgin IL",0
42.04,-88.29,2005,77658,"Elgin IL",0
42.04,-88.29,2007,81940,"Elgin IL",0
42.04,-88.29,1999,70050,"Elgin IL",0
42.04,-88.29,1972,50296,"Elgin IL",0
42.04,-88.29,1989,56142,"Elgin IL",0
42.04,-88.29,1997,69195,"Elgin IL",0
